Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder,2,10uF,
C10,0603,1,100nF,
C5,0805,1,1uF,
D2,0805,1,LED-RT,
D3,D_SOD-123F,1,BAT760,
F1,1206,1,"0,5A",
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,
Q1,SOT-23,1,Si2307,
R11,0603,1,10k,
"R4, R5",0603,2,5.1k,
R7,0603,1,330Ω,
R8,0603,1,"4,7k",
SW1,JS202011SCQN,1,JS202011SCQN,
TP1,TestPoint_Pad_D2.5mm,1,BATT+,
TP2,TestPoint_Pad_D2.5mm,1,BATT-,
TP3,TestPoint_Pad_D2.0mm,1,OUT+,
TP4,TestPoint_Pad_D2.0mm,1,D-,
TP5,TestPoint_Pad_D2.0mm,1,D+,
TP6,TestPoint_Pad_D2.0mm,1,OUT-,
U2,TSOT-23-5,1,LTC4054ES5-4.2,
