Designator,Mid X,Mid Y,Rotation,Layer
C1,119.4816,-112.9538,270.0,top
C10,117.856,-112.6236,270.0,top
C5,113.2738,-109.0477,270.0,top
C6,110.7694,-112.1664,180.0,top
D2,106.2228,-108.5596,90.0,top
D3,116.459,-109.8042,180.0,top
F1,106.4149,-113.0808,180.0,top
J1,112.4946,-102.3112,180.0,top
Q1,114.5771,-112.6592,0.0,top
R11,115.9132,-107.8992,180.0,top
R4,104.9448,-105.0544,270.0,top
R5,106.426,-105.0544,270.0,top
R7,107.2286,-111.2067,180.0,top
R8,108.1392,-108.8172,90.0,top
SW1,126.5,-108.5,270.0,top
U2,110.5814,-109.2255,90.0,top
