Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C3, C8",0603,4,1uF,
"C10, C14",0603,2,10uF,
"C11, C12, C6, C7",0603,4,100nF,
"C4, C5",0603,2,16pF,
C9,0603,1,10nF,
H1,TestPoint_Pad_D1.5mm,1,+5V PAD,
H2,TestPoint_Pad_D1.5mm,1,GND PAD,
J1,microSD_HC_Molex_104031-0811,1,1040310811,
J2,PinHeader_1x04_P1.27mm_Vertical,1,ESP32_USB,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,BOOT,
L1,0603,1,2.2nH,
Q2,SOT-23,1,T2N7002AK,
"R1, R2, R4",0603,3,10k,
R3,0603,1,20 Ohm,
"SW1, SW2",EVPBB,2,EVP-BB2A9B000,
U1,TSOP-5_1.65x3.05mm_P0.95mm,1,XC6210B332MR-G,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3FN4,
U3,ST7735S 0.96,1,"ST7735_0.96""",
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,7B040000H01,
