Designator,Mid X,Mid Y,Rotation,Layer
C1,128.5494,-109.0168,0.0,bottom
C10,123.691,-111.887,90.0,bottom
C11,122.167,-111.887,90.0,bottom
C12,119.3476,-109.601,0.0,bottom
C13,117.7474,-100.8634,180.0,bottom
C14,112.1918,-108.7882,90.0,bottom
C3,125.215,-111.887,90.0,bottom
C4,124.6632,-107.315,270.0,bottom
C5,122.3956,-106.5784,180.0,bottom
C6,112.014,-105.6386,0.0,bottom
C7,114.7248,-100.8634,0.0,bottom
C8,122.4026,-109.6264,180.0,bottom
C9,122.4026,-108.1024,180.0,bottom
J1,103.9,-106.75,270.0,bottom
J2,129.3572,-101.7016,90.0,bottom
L1,120.643,-111.887,90.0,bottom
Q2,114.7064,-109.9312,270.0,bottom
R1,118.357,-112.649,0.0,bottom
R2,118.357,-111.125,0.0,bottom
R3,115.0874,-112.649,180.0,bottom
R4,112.1918,-111.8108,270.0,bottom
SW1,94.5,-102.565,90.0,top
SW2,128.475,-107.24,90.0,top
U1,127.762,-111.5822,180.0,bottom
U2,117.722,-104.775,90.0,bottom
U3,95.9,-100.1,0.0,top
Y1,122.6312,-103.6828,90.0,bottom
